divisie,team1,team2,datum,scheidsrechter,stadion,bezoekersaantal,uitslag,overtredingen
Eerste klasse,Harvestehuder THC,Hartwerd UHC,11/12/2024,de Heer,Molenaarsgraaf Stadium,14720,2-1,3
Eerste klasse,Harvestehuder THC,UHC Hamburg,17/12/2024,van Rheineck,Woudsend Park,12423,7-8,4
Eerste klasse,Harvestehuder THC,HOC Gazellen-Combinatie,07/12/2024,Hulst,Molenaarsgraaf Stadium,12847,4-0,3
Eerste klasse,Harvestehuder THC,Club de Campo,21/12/2024,van Schevinghuizen,Tripscompagnie Stadion,12287,1-0,10
Eerste klasse,Harvestehuder THC,HC Vinkeveen,03/12/2024,de Heer,Markenbinnen Park,14414,2-3,10
Eerste klasse,Harvestehuder THC,Rot-Weiss Köln,23/12/2024,Kalman,Rutten Arena,3703,4-1,1
Eerste klasse,Harvestehuder THC,HC IJlst,20/12/2024,van Rooij,Rijswijk Stadium,19772,5-2,0
Eerste klasse,Harvestehuder THC,UHC Wolfheze,15/12/2024,van Loon,Abbenes Stadium,9850,8-1,65
Eerste klasse,Harvestehuder THC,UHC Nijkerkerveen,05/12/2024,Kalman,Aartswoud Park,5483,5-4,0
Eerste klasse,Harvestehuder THC,Schipborg UHC,28/12/2024,van Rheineck,Oost-Graftdijk Olympic Stadium,19820,0-3,5
Eerste klasse,Harvestehuder THC,HC Noord-Scharwoude,23/12/2024,van Loon,Tripscompagnie Stadion,3938,2-1,1
Eerste klasse,Club de Campo,Nijemirdum UHC,18/12/2024,van Loon,Abbenes Stadium,7273,2-7,0
Eerste klasse,Club de Campo,Wieringerwaard HC,02/12/2024,van Schevinghuizen,Haghorst Stadion,8196,8-4,8
Eerste klasse,Club de Campo,Abbega UHC,28/12/2024,van Loon,Woudsend Park,24382,5-2,2
Eerste klasse,Club de Campo,Wekerom HC,25/12/2024,van de Wal,Aartswoud Park,1122,6-3,0
Eerste klasse,Club de Campo,Reading Hockey Club,23/12/2024,Hulst,Kiel-Windeweer Stadion,14501,3-3,68
Eerste klasse,Club de Campo,Voorthuizen UHC,05/12/2024,de Heer,Rutten Arena,13143,7-8,3
Eerste klasse,Club de Campo,Waterloo Ducks,13/12/2024,van Rheineck,Abbenes Stadium,22921,5-3,0
Eerste klasse,Club de Campo,Amsterdamsche Hockey & Bandey Club,21/12/2024,Kalman,Woudsend Park,19395,3-0,4
Eerste klasse,Club de Campo,Hartwerd UHC,20/12/2024,van Rheineck,Haarlo Arena,23187,3-8,8
Eerste klasse,Club de Campo,UHC Hamburg,24/12/2024,Bertho,Oost-Graftdijk Olympic Stadium,6233,3-3,1
Eerste klasse,Club de Campo,HOC Gazellen-Combinatie,22/12/2024,van Rooij,Aartswoud Park,16110,5-3,5
Eerste klasse,Club de Campo,Harvestehuder THC,03/12/2024,Lankle,Abbenes Stadium,25312,1-8,1
Eerste klasse,Club de Campo,HC Vinkeveen,14/12/2024,Bertho,Abbenes Stadium,5101,2-0,3
Eerste klasse,Club de Campo,Rot-Weiss Köln,06/12/2024,van Rheineck,Haarle Arena,8743,2-6,10
Eerste klasse,Club de Campo,HC IJlst,08/12/2024,Kalman,Gerkesklooster Park,12535,1-2,1
Eerste klasse,Club de Campo,UHC Wolfheze,22/12/2024,van Loon,Aartswoud Park,26408,0-0,0
Eerste klasse,Club de Campo,UHC Nijkerkerveen,25/12/2024,van Rheineck,Haarlo Arena,17151,2-6,6
Eerste klasse,Club de Campo,Schipborg UHC,19/12/2024,Lankle,Radio Kootwijk Stadion,21187,1-2,6
Eerste klasse,Club de Campo,HC Noord-Scharwoude,14/12/2024,de Heer,Aartswoud Park,12470,2-4,0
Eerste klasse,HC Vinkeveen,Nijemirdum UHC,05/12/2024,van Schevinghuizen,Oost-Graftdijk Olympic Stadium,8157,8-0,1
Eerste klasse,HC Vinkeveen,Wieringerwaard HC,01/12/2024,van Rheineck,Tripscompagnie Stadion,9918,5-0,14
Eerste klasse,HC Vinkeveen,Abbega UHC,01/12/2024,van Loon,Zuidoostbeemster Stadion,20973,8-3,2
Eerste klasse,HC Vinkeveen,Wekerom HC,30/12/2024,van Loon,Haarlo Arena,2376,0-1,8
Eerste klasse,HC Vinkeveen,Reading Hockey Club,14/12/2024,de Heer,Gerkesklooster Park,24210,5-5,1
Eerste klasse,HC Vinkeveen,Voorthuizen UHC,11/12/2024,van Loon,Rijswijk Stadium,15882,8-2,1
Eerste klasse,HC Vinkeveen,Waterloo Ducks,22/12/2024,Bertho,Rijswijk Stadium,23755,4-6,1
Eerste klasse,HC Vinkeveen,Amsterdamsche Hockey & Bandey Club,03/12/2024,Hulst,Gorinchem Arena,19246,3-4,4
Eerste klasse,HC Vinkeveen,Hartwerd UHC,18/12/2024,van Schevinghuizen,Haarle Arena,24462,1-4,2
Eerste klasse,HC Vinkeveen,UHC Hamburg,14/12/2024,de Heer,Gerkesklooster Park,6453,7-8,78
Eerste klasse,HC Vinkeveen,HOC Gazellen-Combinatie,24/12/2024,van de Wal,Gorinchem Arena,22273,5-0,0
Eerste klasse,HC Vinkeveen,Harvestehuder THC,09/12/2024,Bertho,Aartswoud Park,7839,6-2,1
Eerste klasse,HC Vinkeveen,Club de Campo,13/12/2024,Hulst,Markenbinnen Park,21861,4-6,0
Eerste klasse,HC Vinkeveen,Rot-Weiss Köln,22/12/2024,van Rooij,Kiel-Windeweer Stadion,2925,5-4,8
Eerste klasse,HC Vinkeveen,HC IJlst,08/12/2024,van Rooij,Gorinchem Arena,26886,8-6,3
Eerste klasse,HC Vinkeveen,UHC Wolfheze,05/12/2024,Hulst,Gerkesklooster Park,14092,6-6,2
Eerste klasse,HC Vinkeveen,UHC Nijkerkerveen,29/12/2024,Bertho,Haarle Arena,17093,5-0,0
Eerste klasse,HC Vinkeveen,Schipborg UHC,19/12/2024,van Schevinghuizen,Rutten Arena,2521,2-7,1
Eerste klasse,HC Vinkeveen,HC Noord-Scharwoude,09/12/2024,van Rooij,Aartswoud Park,23018,5-7,8
Eerste klasse,Rot-Weiss Köln,Nijemirdum UHC,14/12/2024,Hulst,Radio Kootwijk Stadion,458,4-3,7
Eerste klasse,Rot-Weiss Köln,Wieringerwaard HC,30/12/2024,Bertho,Haarle Arena,28144,7-3,1
Eerste klasse,Rot-Weiss Köln,Abbega UHC,23/12/2024,Kalman,Markenbinnen Park,25507,0-4,1
Eerste klasse,Rot-Weiss Köln,Wekerom HC,03/12/2024,van Schevinghuizen,Tripscompagnie Stadion,15173,2-1,10
Eerste klasse,Rot-Weiss Köln,Reading Hockey Club,24/12/2024,Kalman,Abbenes Stadium,17577,3-4,2
Eerste klasse,Rot-Weiss Köln,Voorthuizen UHC,16/12/2024,Lankle,Kiel-Windeweer Stadion,9676,0-5,2
Eerste klasse,Rot-Weiss Köln,Waterloo Ducks,05/12/2024,van de Wal,Radio Kootwijk Stadion,21057,1-0,52
Eerste klasse,Rot-Weiss Köln,Amsterdamsche Hockey & Bandey Club,09/12/2024,van de Wal,Gerkesklooster Park,2723,1-4,0
Eerste klasse,Rot-Weiss Köln,Hartwerd UHC,11/12/2024,van de Wal,Molenaarsgraaf Stadium,29161,2-8,8
Eerste klasse,Rot-Weiss Köln,UHC Hamburg,28/12/2024,van Rheineck,Molenaarsgraaf Stadium,8930,5-2,7
Eerste klasse,Rot-Weiss Köln,HOC Gazellen-Combinatie,15/12/2024,van Loon,Woudsend Park,26443,3-2,0
Eerste klasse,Rot-Weiss Köln,Harvestehuder THC,11/12/2024,van Loon,Kerkrade Olympic Stadium,18950,5-5,8
Eerste klasse,Rot-Weiss Köln,Club de Campo,06/12/2024,van Loon,Gerkesklooster Park,23527,1-2,5
Eerste klasse,Rot-Weiss Köln,HC Vinkeveen,25/12/2024,van Rooij,Kiel-Windeweer Stadion,8526,2-0,3
Eerste klasse,Rot-Weiss Köln,HC IJlst,15/12/2024,van Loon,Haghorst Stadion,277,1-6,90
Eerste klasse,Rot-Weiss Köln,UHC Wolfheze,20/12/2024,van Loon,Abbenes Stadium,3457,2-1,0
Eerste klasse,Rot-Weiss Köln,UHC Nijkerkerveen,03/12/2024,de Heer,Haghorst Stadion,28144,3-0,0
Eerste klasse,Rot-Weiss Köln,Schipborg UHC,04/12/2024,Bertho,Neede Stadion,12645,1-4,10
Eerste klasse,Rot-Weiss Köln,HC Noord-Scharwoude,02/12/2024,van Loon,Abbenes Stadium,1963,2-4,8
Eerste klasse,HC IJlst,Nijemirdum UHC,01/12/2024,Lankle,Haarle Arena,29191,4-6,1
Eerste klasse,HC IJlst,Wieringerwaard HC,17/12/2024,van Schevinghuizen,Gerkesklooster Park,629,4-2,8
Eerste klasse,HC IJlst,Abbega UHC,13/12/2024,Bertho,Neede Stadion,10163,4-3,4
Eerste klasse,HC IJlst,Wekerom HC,24/12/2024,van Loon,Rutten Arena,5503,2-2,1
Eerste klasse,HC IJlst,Reading Hockey Club,27/12/2024,Bertho,Neede Stadion,13019,7-4,9
Eerste klasse,HC IJlst,Voorthuizen UHC,05/12/2024,van Loon,Zuidoostbeemster Stadion,9576,1-1,9
Eerste klasse,HC IJlst,Waterloo Ducks,04/12/2024,van Loon,Aartswoud Park,7437,2-3,0
Eerste klasse,HC IJlst,Amsterdamsche Hockey & Bandey Club,06/12/2024,de Heer,Haghorst Stadion,23205,0-3,6
Eerste klasse,HC IJlst,Hartwerd UHC,13/12/2024,van Schevinghuizen,Aartswoud Park,13683,5-8,7
Eerste klasse,HC IJlst,UHC Hamburg,22/12/2024,Hulst,Haarle Arena,20780,1-7,3
Eerste klasse,HC IJlst,HOC Gazellen-Combinatie,30/12/2024,Hulst,Haarle Arena,20720,3-2,0
Eerste klasse,HC IJlst,Harvestehuder THC,11/12/2024,Lankle,Haarle Arena,25258,8-3,83
Eerste klasse,HC IJlst,Club de Campo,03/12/2024,Bertho,Rutten Arena,17118,8-1,0
Eerste klasse,HC IJlst,HC Vinkeveen,24/12/2024,van Rheineck,Gerkesklooster Park,23483,5-7,0
Eerste klasse,HC IJlst,Rot-Weiss Köln,15/12/2024,Kalman,Molenaarsgraaf Stadium,256,6-2,8
Eerste klasse,HC IJlst,UHC Wolfheze,29/12/2024,Kalman,Kiel-Windeweer Stadion,17602,5-8,2
Eerste klasse,HC IJlst,UHC Nijkerkerveen,12/12/2024,Kalman,Haarle Arena,7653,5-7,2
Eerste klasse,HC IJlst,Schipborg UHC,30/12/2024,van Rheineck,Rijswijk Stadium,5284,1-7,9
Eerste klasse,HC IJlst,HC Noord-Scharwoude,04/12/2024,van Loon,Gorinchem Arena,6428,0-7,1
Eerste klasse,UHC Wolfheze,Nijemirdum UHC,21/12/2024,Lankle,Rijswijk Stadium,29314,2-8,41
Eerste klasse,UHC Wolfheze,Wieringerwaard HC,25/12/2024,van Rheineck,Kerkrade Olympic Stadium,8224,7-2,10
Eerste klasse,UHC Wolfheze,Abbega UHC,22/12/2024,Lankle,Aartswoud Park,14509,8-3,1
Eerste klasse,UHC Wolfheze,Wekerom HC,05/12/2024,Lankle,Molenaarsgraaf Stadium,21277,6-6,1
Eerste klasse,UHC Wolfheze,Reading Hockey Club,30/12/2024,Lankle,Haarle Arena,25829,8-5,7
Eerste klasse,UHC Wolfheze,Voorthuizen UHC,19/12/2024,van Schevinghuizen,Abbenes Stadium,8412,1-5,3
Eerste klasse,UHC Wolfheze,Waterloo Ducks,21/12/2024,Kalman,Woudsend Park,17075,0-2,3
Eerste klasse,UHC Wolfheze,Amsterdamsche Hockey & Bandey Club,10/12/2024,van Rooij,Kerkrade Olympic Stadium,25011,8-0,1
Eerste klasse,UHC Wolfheze,Hartwerd UHC,03/12/2024,Bertho,Gorinchem Arena,5353,1-0,1
Eerste klasse,UHC Wolfheze,UHC Hamburg,14/12/2024,Hulst,Aartswoud Park,16990,5-6,1
Eerste klasse,UHC Wolfheze,HOC Gazellen-Combinatie,19/12/2024,van de Wal,Rutten Arena,27379,3-1,9
Eerste klasse,UHC Wolfheze,Harvestehuder THC,02/12/2024,van de Wal,Kerkrade Olympic Stadium,11234,1-6,1
Eerste klasse,UHC Wolfheze,Club de Campo,21/12/2024,Bertho,Zuidoostbeemster Stadion,1575,8-3,4
Eerste klasse,UHC Wolfheze,HC Vinkeveen,21/12/2024,Kalman,Radio Kootwijk Stadion,25850,1-2,0
Eerste klasse,UHC Wolfheze,Rot-Weiss Köln,10/12/2024,van Rheineck,Tripscompagnie Stadion,28037,7-7,3
Eerste klasse,UHC Wolfheze,HC IJlst,24/12/2024,Kalman,Gerkesklooster Park,1570,8-5,3
Eerste klasse,UHC Wolfheze,UHC Nijkerkerveen,05/12/2024,Hulst,Zuidoostbeemster Stadion,2240,0-4,97
Eerste klasse,UHC Wolfheze,Schipborg UHC,28/12/2024,van Schevinghuizen,Haghorst Stadion,15029,0-8,1
Eerste klasse,UHC Wolfheze,HC Noord-Scharwoude,09/12/2024,de Heer,Haghorst Stadion,874,4-0,10
Eerste klasse,UHC Nijkerkerveen,Nijemirdum UHC,11/12/2024,van Rheineck,Gorinchem Arena,26505,8-6,10
Eerste klasse,UHC Nijkerkerveen,Wieringerwaard HC,11/12/2024,de Heer,Haarle Arena,18566,7-4,2
Eerste klasse,UHC Nijkerkerveen,Abbega UHC,10/12/2024,Kalman,Kerkrade Olympic Stadium,26408,6-1,6
Eerste klasse,UHC Nijkerkerveen,Wekerom HC,28/12/2024,van Rheineck,Radio Kootwijk Stadion,21216,8-1,8
Eerste klasse,UHC Nijkerkerveen,Reading Hockey Club,09/12/2024,van Rheineck,Kerkrade Olympic Stadium,8687,6-4,3
Eerste klasse,UHC Nijkerkerveen,Voorthuizen UHC,17/12/2024,Bertho,Zuidoostbeemster Stadion,21949,6-6,56
Eerste klasse,UHC Nijkerkerveen,Waterloo Ducks,14/12/2024,van de Wal,Neede Stadion,14259,7-0,4
Eerste klasse,UHC Nijkerkerveen,Amsterdamsche Hockey & Bandey Club,16/12/2024,van Schevinghuizen,Radio Kootwijk Stadion,8009,7-1,0
Eerste klasse,UHC Nijkerkerveen,Hartwerd UHC,25/12/2024,Hulst,Aartswoud Park,5703,4-7,4
Eerste klasse,UHC Nijkerkerveen,UHC Hamburg,08/12/2024,van Rooij,Molenaarsgraaf Stadium,15967,3-3,5
Eerste klasse,UHC Nijkerkerveen,HOC Gazellen-Combinatie,11/12/2024,Bertho,Haghorst Stadion,24328,3-5,2
Eerste klasse,UHC Nijkerkerveen,Harvestehuder THC,23/12/2024,van Rheineck,Zuidoostbeemster Stadion,16555,5-0,7
Eerste klasse,UHC Nijkerkerveen,Club de Campo,13/12/2024,van Rheineck,Gerkesklooster Park,1336,5-0,1
Eerste klasse,UHC Nijkerkerveen,HC Vinkeveen,24/12/2024,van Rooij,Kiel-Windeweer Stadion,9054,5-8,0
Eerste klasse,UHC Nijkerkerveen,Rot-Weiss Köln,25/12/2024,de Heer,Haarlo Arena,17455,4-5,1
Eerste klasse,UHC Nijkerkerveen,HC IJlst,02/12/2024,Hulst,Rijswijk Stadium,25509,0-1,8
Eerste klasse,UHC Nijkerkerveen,UHC Wolfheze,20/12/2024,Kalman,Neede Stadion,4787,3-8,3
Eerste klasse,UHC Nijkerkerveen,Schipborg UHC,16/12/2024,Hulst,Radio Kootwijk Stadion,24334,2-7,5
Eerste klasse,UHC Nijkerkerveen,HC Noord-Scharwoude,10/12/2024,de Heer,Radio Kootwijk Stadion,25862,8-6,6
Eerste klasse,Schipborg UHC,Nijemirdum UHC,19/12/2024,van Rheineck,Ruinerwold Olympic Stadium,27678,7-5,3
Eerste klasse,Schipborg UHC,Wieringerwaard HC,24/12/2024,Lankle,Tripscompagnie Stadion,8047,2-7,3
Eerste klasse,Schipborg UHC,Abbega UHC,17/12/2024,Bertho,Oost-Graftdijk Olympic Stadium,26383,3-6,17
Eerste klasse,Schipborg UHC,Wekerom HC,20/12/2024,de Heer,Zuidoostbeemster Stadion,24971,1-1,2
Eerste klasse,Schipborg UHC,Reading Hockey Club,22/12/2024,Bertho,Haarlo Arena,16343,1-7,5
Eerste klasse,Schipborg UHC,Voorthuizen UHC,15/12/2024,Kalman,Zuidoostbeemster Stadion,12920,4-5,1
Eerste klasse,Schipborg UHC,Waterloo Ducks,06/12/2024,van Schevinghuizen,Rutten Arena,29383,0-2,3
Eerste klasse,Schipborg UHC,Amsterdamsche Hockey & Bandey Club,09/12/2024,van Rheineck,Aartswoud Park,25575,2-0,0
Eerste klasse,Schipborg UHC,Hartwerd UHC,23/12/2024,Lankle,Markenbinnen Park,17820,0-1,10
Eerste klasse,Schipborg UHC,UHC Hamburg,12/12/2024,de Heer,Gerkesklooster Park,13459,6-1,2
Eerste klasse,Schipborg UHC,HOC Gazellen-Combinatie,15/12/2024,van Loon,Haarlo Arena,946,5-0,63
Eerste klasse,Schipborg UHC,Harvestehuder THC,26/12/2024,van Schevinghuizen,Markenbinnen Park,17781,0-8,3
Eerste klasse,Schipborg UHC,Club de Campo,14/12/2024,van Schevinghuizen,Radio Kootwijk Stadion,29676,6-3,2
Eerste klasse,Schipborg UHC,HC Vinkeveen,24/12/2024,van Rooij,Zuidoostbeemster Stadion,1672,2-4,2
Eerste klasse,Schipborg UHC,Rot-Weiss Köln,24/12/2024,Lankle,Neede Stadion,15235,3-3,2
Eerste klasse,Schipborg UHC,HC IJlst,01/12/2024,van Loon,Woudsend Park,16465,2-4,3
Eerste klasse,Schipborg UHC,UHC Wolfheze,29/12/2024,van de Wal,Abbenes Stadium,3349,1-2,9
Eerste klasse,Schipborg UHC,UHC Nijkerkerveen,24/12/2024,van Schevinghuizen,Rijswijk Stadium,17510,5-8,5
Eerste klasse,Schipborg UHC,HC Noord-Scharwoude,18/12/2024,van Rheineck,Molenaarsgraaf Stadium,23652,7-3,3
Eerste klasse,HC Noord-Scharwoude,Nijemirdum UHC,26/12/2024,Hulst,Rijswijk Stadium,18712,0-1,10
Eerste klasse,HC Noord-Scharwoude,Wieringerwaard HC,24/12/2024,Lankle,Abbenes Stadium,23246,4-8,1
Eerste klasse,HC Noord-Scharwoude,Abbega UHC,11/12/2024,Lankle,Oost-Graftdijk Olympic Stadium,25371,8-2,1
Eerste klasse,HC Noord-Scharwoude,Wekerom HC,02/12/2024,van Loon,Haghorst Stadion,19495,1-7,4
Eerste klasse,HC Noord-Scharwoude,Reading Hockey Club,01/12/2024,van Rooij,Haarlo Arena,14577,2-6,10
Eerste klasse,HC Noord-Scharwoude,Voorthuizen UHC,01/12/2024,van Loon,Haarlo Arena,23744,1-1,3
Eerste klasse,HC Noord-Scharwoude,Waterloo Ducks,23/12/2024,Hulst,Markenbinnen Park,25976,3-4,7
Eerste klasse,HC Noord-Scharwoude,Amsterdamsche Hockey & Bandey Club,08/12/2024,Kalman,Oost-Graftdijk Olympic Stadium,20829,3-3,61
Eerste klasse,HC Noord-Scharwoude,Hartwerd UHC,20/12/2024,Bertho,Neede Stadion,26531,5-7,1
Eerste klasse,HC Noord-Scharwoude,UHC Hamburg,09/12/2024,de Heer,Haarlo Arena,10700,7-7,6
Eerste klasse,HC Noord-Scharwoude,HOC Gazellen-Combinatie,04/12/2024,van Loon,Zuidoostbeemster Stadion,29386,1-4,3
Eerste klasse,HC Noord-Scharwoude,Harvestehuder THC,06/12/2024,van Schevinghuizen,Gorinchem Arena,10332,1-4,1
Eerste klasse,HC Noord-Scharwoude,Club de Campo,21/12/2024,van Schevinghuizen,Haghorst Stadion,16557,6-0,10
Eerste klasse,HC Noord-Scharwoude,HC Vinkeveen,10/12/2024,van Rheineck,Kiel-Windeweer Stadion,11078,7-5,3
Eerste klasse,HC Noord-Scharwoude,Rot-Weiss Köln,18/12/2024,Hulst,Haarlo Arena,8634,2-7,3
Eerste klasse,HC Noord-Scharwoude,HC IJlst,08/12/2024,van de Wal,Haghorst Stadion,15807,7-4,32
Eerste klasse,HC Noord-Scharwoude,UHC Wolfheze,02/12/2024,Bertho,Oost-Graftdijk Olympic Stadium,21477,8-2,1
Eerste klasse,HC Noord-Scharwoude,UHC Nijkerkerveen,27/12/2024,de Heer,Haarlo Arena,22951,3-7,2
Eerste klasse,HC Noord-Scharwoude,Schipborg UHC,11/12/2024,Kalman,Markenbinnen Park,16839,2-5,1
